"iid","time","origin","airline","aircraft","flightPhase","impact","cond","aid"
209533,"6/20/2001","Texas","AMERICAN AIRLINES","MD-82","inflight","0","1","163"
4937,"6/20/2001","Louisiana","MILITARY","A-10A","inflight","0","1","37"
208378,"6/21/2001","Texas","BUSINESS","IAI-1124","inflight","0","1","128"
209858,"6/21/2001","Mississippi","DELTA AIR LINES","MD-80","inflight","0","2","89"
204736,"6/21/2001","North Carolina","BUSINESS","C-150","inflight","0","1","643"
208486,"6/22/2001","Arizona","AMERICA WEST AIRLINES","B-737-300","takeoff","0","2","18"
203003,"6/22/2001","Tennessee","SOUTHWEST AIRLINES","B-737-300","takeoff","0","3","19"
212853,"6/22/2001","Nevada","SOUTHWEST AIRLINES","B-737-500","takeoff","0","1","289"
208947,"6/22/2001","New Mexico","FRONTIER AIRLINES","B-737-200","inflight","0","1","118"
205473,"","Hawaii","","AEROS 350","unknown","1","2","83"
206756,"6/23/2001","Ohio","NORTHWEST AIRLINES","DC-9-30","landing","0","2","94"
211101,"6/23/2001","Michigan","MESABA AIRLINES","AVRO RJ 85","landing","0","2","53"
207868,"6/24/2001","Kentucky","EXPRESSJET (CONTINENTAL EXPRS)","EMB-145","inflight","0","1","47"
206937,"6/24/2001","Florida","PRIVATELY OWNED","MERLIN III","inflight","0","3","141"
205824,"6/25/2001","DC","US AIRWAYS*","B-737-300","inflight","1","1","113"
212115,"6/25/2001","Michigan","BUSINESS","BE-90  KING","takeoff","0","1","337"
205965,"6/25/2001","Utah","SKYWEST AIRLINES","EMB-120","inflight","0","1","92"
207542,"6/25/2001","Texas","US AIRWAYS*","A-319","inflight","0","1","2"
207493,"6/26/2001","North Carolina","PRIVATELY OWNED","BE-200 KING","inflight","0","2","43"
203660,"6/26/2001","California","AMERICAN AIRLINES","B-757-200","landing","0","1","50"
205648,"6/26/2001","New York","BUSINESS","C-172","takeoff","0","1","476"
207585,"6/28/2001","Pennsylvania","US AIRWAYS*","A-319","inflight","0","1","121"
209299,"6/29/2001","Colorado","GREAT LAKES AIRLINES","BE-1900","inflight","0","2","61"
204417,"6/30/2001","California","AMERICAN EAGLE AIRLINES","SAAB-340","inflight","0","1","98"
207849,"6/30/2001","South Carolina","ATLANTIC COAST AIRLINES","CL-RJ100/200","landing","0","2","340"
202442,"6/30/2001","California","BUSINESS","LEARJET-35","takeoff","0","2","364"
207869,"6/30/2001","Ohio","EMERY WORLDWIDE","DC-8-70","takeoff","0","1","116"
209205,"7/1/2001","Connecticut","US AIRWAYS*","B-737-200","landing","0","2","135"
209966,"7/1/2001","Alabama","BUSINESS","CIRRUS SR 20/22","landing","0","1","29"
211869,"7/1/2001","Texas","DELTA AIR LINES","MD-88","inflight","0","2","2"
207951,"7/2/2001","Alabama","BUSINESS","LEARJET-60","landing","0","1","149"
203437,"7/2/2001","Hawaii","HAWAIIAN AIR","DC-9-50","landing","0","2","17"
207417,"7/2/2001","Arizona","AMERICAN AIRLINES","MD-83","inflight","0","1","395"
208374,"7/3/2001","Hawaii","ALOHA AIRLINES","B-737-700","landing","0","1","232"
206915,"7/3/2001","Michigan","BUSINESS","C-172","takeoff","0","2","644"
215181,"7/3/2001","Colorado","AMERICAN AIRLINES","MD-80","takeoff","0","1","100"
209391,"7/4/2001","New York","UNITED AIRLINES","B-737-300","landing","0","2","78"
206948,"7/4/2001","California","AMERICAN AIRLINES","MD-80","inflight","0","1","107"
209078,"7/4/2001","Florida","BUSINESS","C-172","takeoff","1","3","10"
205128,"7/4/2001","Texas","AMERICAN AIRLINES","FOKKER F100","inflight","0","1","2"
211729,"7/4/2001","California","PRIVATELY OWNED","PA-28","landing","1","2","454"
212736,"7/5/2001","California","DELTA AIR LINES","MD-90-30","inflight","0","2","136"
208212,"7/5/2001","North Carolina","US AIRWAYS*","B-737-400","inflight","0","1","43"
209493,"7/5/2001","Washington","JAPAN AIRLINES","B-747","inflight","0","1","267"
212919,"7/5/2001","Florida","US AIRWAYS*","A-319","landing","0","2","21"
207980,"7/5/2001","Hawaii","BUSINESS","C-172","takeoff","0","1","232"
205688,"7/5/2001","Oregon","HORIZON AIR","DHC8 DASH 8","landing","0","1","48"
209567,"7/6/2001","Kentucky","UPS AIRLINES","B-747","inflight","0","1","47"
209609,"7/6/2001","Ohio","EPPS AVIATION CHARTER","MU2","landing","0","2","51"
211675,"7/6/2001","Missouri","SOUTHWEST AIRLINES","B-737-300","inflight","0","1","125"
211956,"7/6/2001","Illinois","AMERICAN AIRLINES","MD-80","inflight","0","1","12"
209669,"7/6/2001","New York","PRIVATELY OWNED","GRUMMAN GA7","takeoff","0","1","645"
206036,"7/7/2001","California","AMERICA WEST AIRLINES","A-320","inflight","0","2","107"
207014,"7/7/2001","Colorado","AMERICAN AIRLINES","MD-80","takeoff","0","1","61"
210968,"7/8/2001","Texas","AMERICAN EAGLE AIRLINES","SAAB-340","inflight","0","1","590"
211398,"7/8/2001","N/A","AMERICAN AIRLINES","B-727-200","inflight","0","2","103"
206535,"7/8/2001","Arkansas","AMERICAN AIRLINES","MD-80","inflight","0","1","171"
208875,"7/8/2001","Illinois","SOUTHWEST AIRLINES","B-737-200","inflight","0","3","138"
210347,"7/9/2001","Michigan","MESABA AIRLINES","SAAB-340","inflight","0","2","38"
210836,"7/9/2001","Ohio","BUSINESS","CITATION II","inflight","0","2","39"
206454,"7/9/2001","Rhode Island","SOUTHWEST AIRLINES","B-737","inflight","0","1","15"
208408,"7/9/2001","Pennsylvania","US AIRWAYS*","A-320","inflight","0","1","52"
206417,"7/9/2001","Texas","DELTA AIR LINES","B-727-200","inflight","0","1","129"
208409,"7/9/2001","N/A","AMERICAN AIRLINES","B-757-200","inflight","0","1","508"
210369,"7/10/2001","Nebraska","BOMBARDIER BUSINESS JET","LEARJET-31","inflight","0","2","95"
207903,"7/10/2001","Pennsylvania","US AIRWAYS*","A-320","inflight","0","2","52"
206501,"7/10/2001","DC","AMERICAN AIRLINES","FOKKER F100","inflight","0","1","113"
209796,"7/11/2001","Florida","BUSINESS","C-152","inflight","0","1","10"
213588,"7/11/2001","Arizona","PAN AM","PA-28","takeoff","0","2","173"
212315,"7/11/2001","Massachusetts","BUSINESS","BE-90  KING","inflight","0","3","312"
212544,"7/11/2001","Mississippi","BUSINESS","LEARJET-31","inflight","0","2","66"
209989,"7/11/2001","Kentucky","MESABA AIRLINES","BA-146","landing","0","1","47"
215096,"7/11/2001","Florida","DELTA AIR LINES","MD-88","landing","0","3","21"
207713,"7/11/2001","Tennessee","FEDEX EXPRESS","A-300","inflight","0","1","77"
207558,"7/12/2001","Mississippi","BUSINESS","BE-400 BJET","takeoff","0","2","646"
207639,"7/12/2001","Tennessee","BUSINESS","CITATION II","takeoff","0","1","115"
209868,"7/12/2001","Florida","US AIRWAYS*","B-737-200","takeoff","0","2","85"
208219,"7/12/2001","West Virginia","COMAIR AIRLINES","CL-RJ100/200","takeoff","0","2","503"
201531,"7/12/2001","Wisconsin","EXPRESSJET (CONTINENTAL EXPRS)","EMB-135","inflight","0","1","269"
215956,"7/13/2001","Pennsylvania","BOMBARDIER BUSINESS JET","LEARJET-60","landing","0","2","203"
206678,"7/13/2001","Illinois","PRIVATELY OWNED","C-172","landing","0","1","93"
209229,"7/14/2001","Ontario","US AIRWAYS*","B-737-300","inflight","0","1","268"
211776,"7/14/2001","Pennsylvania","UNKNOWN","MOONEY UNKN","inflight","1","2","339"
203719,"7/15/2001","Florida","DELTA AIR LINES","B-767","landing","0","1","229"
210851,"7/15/2001","Kentucky","DELTA AIR LINES","B-757-200","takeoff","0","2","44"
204492,"7/15/2001","Florida","AMERICAN AIRLINES","B-727","inflight","0","2","119"
206152,"7/15/2001","North Carolina","PIEDMONT AIRLINES","BE-90  KING","takeoff","1","1","647"
204634,"7/15/2001","West Virginia","MESA AIRLINES","BE-1900","takeoff","1","1","207"
210880,"7/16/2001","Wisconsin","COMAIR AIRLINES","CL-RJ100/200","inflight","0","1","269"
206682,"7/16/2001","Michigan","MESABA AIRLINES","SAAB-340","inflight","0","1","38"
210402,"7/16/2001","Hawaii","ALOHA AIRLINES","B-737","inflight","0","1","17"
206805,"7/16/2001","Pennsylvania","US AIRWAYS*","FOKKER F100","inflight","0","2","121"
209636,"7/17/2001","Connecticut","BUSINESS","PA-28","inflight","0","1","206"
211661,"7/17/2001","Hawaii","ALOHA AIRLINES","B-737-200","inflight","0","2","17"
209376,"7/17/2001","New York","AMERICAN AIRLINES","B-757-200","inflight","0","2","1"
209675,"7/17/2001","Oregon","HORIZON AIR","FOKKER F28 MK 4000","landing","0","3","48"
209397,"7/17/2001","Ohio","BUSINESS","C-152","inflight","0","3","427"
207504,"7/17/2001","Nebraska","GREAT LAKES AIRLINES","BE-1900","takeoff","0","1","648"
207619,"7/17/2001","Maryland","SOUTHWEST AIRLINES","B-737-700","takeoff","0","2","68"
207984,"7/17/2001","Florida","US AIRWAYS*","B-737-400","inflight","0","2","58"
209262,"7/17/2001","Louisiana","US AIRWAYS*","B-737-400","inflight","1","1","124"
208689,"7/18/2001","Pennsylvania","US AIRWAYS*","MD-80","takeoff","0","2","282"
202819,"7/18/2001","Nevada","CASINO EXPRESS AIRLINES","B-737-200","takeoff","1","1","272"
207945,"7/18/2001","California","FEDEX EXPRESS","B-727-200","inflight","0","1","40"
210805,"7/19/2001","Ohio","ABX AIR","DC-8-63","inflight","0","1","151"
208966,"7/19/2001","Texas","AMERICAN EAGLE AIRLINES","ATR-72","takeoff","0","1","2"
205857,"7/19/2001","New Jersey","EXPRESSJET (CONTINENTAL EXPRS)","EMB-145","takeoff","0","3","198"
207340,"7/19/2001","Texas","DELTA AIR LINES","MD-88","inflight","0","1","182"
209634,"7/19/2001","Maryland","US AIRWAYS*","B-737-200","takeoff","0","2","68"
213946,"7/19/2001","Missouri","PINNACLE","SAAB-340","inflight","1","1","177"
206263,"7/19/2001","Texas","FEDEX EXPRESS","B-727-200","inflight","0","2","182"
209711,"7/20/2001","Kentucky","UPS AIRLINES","B-757-200","inflight","0","3","47"
209510,"7/21/2001","Florida","US AIRWAYS*","B-737-400","landing","0","1","67"
214129,"7/22/2001","Ohio","ATLANTIC COAST AIRLINES","CL-RJ100/200","takeoff","0","1","309"
210650,"7/22/2001","Alabama","AMERICAN EAGLE AIRLINES","EMB-145","takeoff","0","2","149"
212055,"7/22/2001","Texas","AMERICAN EAGLE AIRLINES","SAAB-340","landing","0","1","2"
211828,"7/22/2001","Texas","AMERICAN EAGLE AIRLINES","ATR-72","inflight","0","1","2"
210209,"7/22/2001","Texas","AMERICAN EAGLE AIRLINES","SAAB-340","landing","1","1","2"
207946,"7/23/2001","Iowa","COMAIR AIRLINES","CL-RJ100/200","inflight","0","1","131"
211071,"7/23/2001","Texas","US AIRWAYS*","A-319","inflight","0","2","2"
207876,"7/23/2001","Texas","AMERICAN EAGLE AIRLINES","SAAB-340","landing","0","2","2"
210937,"7/23/2001","Indiana","BUSINESS","BE-1900","landing","0","3","46"
203232,"7/23/2001","Indiana","BUSINESS","BE-1900","takeoff","0","3","46"
204558,"7/23/2001","Iowa","TRANS WORLD AIRLINES","MD-82","inflight","0","1","111"
205545,"7/24/2001","Ohio","AIRTRAN AIRWAYS","DC-9-30","takeoff","0","2","309"
207080,"7/24/2001","North Carolina","US AIRWAYS*","B-737-400","inflight","0","2","43"
201096,"7/24/2001","N/A","DELTA AIR LINES","B-767-300","inflight","0","2","649"
210874,"7/25/2001","New York","US AIRWAYS*","B-737-400","takeoff","0","2","434"
206549,"7/25/2001","Arizona","BUSINESS","C-172","takeoff","0","2","173"
208343,"7/26/2001","Michigan","BUSINESS","PA-28","inflight","0","2","53"
209127,"7/26/2001","DC","ATLANTIC COAST AIRLINES","CL-RJ100/200","inflight","0","3","8"
210729,"7/26/2001","Ohio","PINNACLE","CL-RJ100/200","landing","0","2","309"
207206,"7/26/2001","Illinois","MESABA AIRLINES","SAAB-340","inflight","0","2","93"
212245,"7/26/2001","Hawaii","HAWAIIAN AIR","B-717-200","landing","0","2","179"
204931,"7/27/2001","Hawaii","HAWAIIAN AIR","DC-9-50","takeoff","0","3","57"
208659,"7/27/2001","Alaska","PENAIR","SA227 AC METRO III","takeoff","0","2","42"
204935,"7/27/2001","Rhode Island","EXECUTIVE JET AVIATION","BA-125-800","landing","0","1","15"
206221,"7/27/2001","Louisiana","US AIRWAYS*","B-737-300","inflight","0","1","124"
207788,"7/27/2001","New York","US AIRWAYS*","A-320","inflight","0","1","1"
206824,"7/27/2001","Missouri","BUSINESS","BA-31 JETSTR","landing","0","3","125"
210687,"7/27/2001","Nebraska","AIR WISCONSIN AIRLINES","BA-146-300","landing","0","2","204"
206807,"7/27/2001","Illinois","AMERICAN EAGLE AIRLINES","EMB-145","inflight","0","2","45"
210688,"7/27/2001","Texas","AMERICAN AIRLINES","MD-80","landing","0","2","2"
210436,"","California","","ROBINSON R22","unknown","0","2","83"
210384,"7/27/2001","New Jersey","BUSINESS","C-650","inflight","0","1","75"
207967,"7/27/2001","Michigan","FEDEX EXPRESS","B-727","landing","0","1","63"
215533,"7/27/2001","Indiana","PRIVATELY OWNED","PA-28","landing","1","1","650"
211630,"7/28/2001","Quebec","PSA AIRLINES","DORNIER 328","inflight","0","2","142"
210208,"7/29/2001","Connecticut","MIDWAY AIRLINES","CL-RJ100/200","landing","0","1","135"
214245,"7/29/2001","Indiana","US AIRWAYS*","B-737-300","inflight","0","2","46"
205722,"7/29/2001","Pennsylvania","BUSINESS","CITATION X","takeoff","0","3","211"
205227,"7/29/2001","Texas","AMERICAN AIRLINES","FOKKER F100","inflight","0","1","59"
209882,"7/29/2001","Alabama","DELTA AIR LINES","MD-88","landing","0","1","439"
208583,"7/29/2001","Connecticut","BUSINESS","C-152","inflight","0","2","159"
210961,"7/29/2001","Kentucky","UPS AIRLINES","A-300","inflight","0","2","47"
209915,"7/29/2001","California","AMERICAN AIRLINES","MD-82","inflight","0","1","11"
211761,"7/30/2001","Michigan","NORTHWEST AIRLINES","B-727","takeoff","0","2","63"
210862,"7/30/2001","Connecticut","DELTA AIR LINES","B-737-200","takeoff","0","2","135"
209941,"7/30/2001","Missouri","TRANS WORLD AIRLINES","MD-80","inflight","0","1","125"
212131,"7/30/2001","DC","ATLANTIC COAST AIRLINES","BA-41 JETSTR","landing","0","1","8"
209964,"7/30/2001","Ohio","CHAUTAUQUA AIRLINES","EMB-145","takeoff","0","2","94"
210861,"7/30/2001","Kentucky","CHAUTAUQUA AIRLINES","EMB-145","inflight","0","2","44"
207428,"7/31/2001","Texas","AMERICAN EAGLE AIRLINES","SAAB-340","inflight","0","1","2"
208851,"7/31/2001","Missouri","TRANS WORLD AIRLINES","MD-80","takeoff","0","2","125"
203203,"7/31/2001","Massachusetts","BUSINESS","LEARJET-35","landing","0","1","69"
211262,"7/31/2001","DC","UNITED AIRLINES","B-737-500","inflight","1","1","8"
206080,"8/1/2001","Michigan","BUSINESS","C-150","landing","0","2","420"
206688,"8/1/2001","South Carolina","ATLANTIC COAST AIRLINES","CL-RJ100/200","inflight","0","2","314"
205175,"8/1/2001","Florida","PINNACLE","SAAB-340","landing","0","2","70"
208041,"8/1/2001","New York","AMERICAN EAGLE AIRLINES","SAAB-340","takeoff","0","2","199"
212693,"8/1/2001","Pennsylvania","PRIVATELY OWNED","C-150","inflight","0","1","260"
239874,"8/1/2001","Arizona","LUFTHANSA","A-340","inflight","0","1","18"
213723,"8/2/2001","Georgia","ATLANTIC SOUTHEAST","ATR-72","landing","0","1","316"
208052,"8/2/2001","North Carolina","BUSINESS","GULFAERO III","inflight","0","1","43"
209331,"8/2/2001","Missouri","CHAUTAUQUA AIRLINES","EMB-145","inflight","0","2","125"
206294,"8/2/2001","Oregon","HORIZON AIR","DHC8 DASH 8","landing","0","3","48"
211825,"8/2/2001","Pennsylvania","EXPRESSJET (CONTINENTAL EXPRS)","BE-1900","inflight","0","1","133"
211977,"8/2/2001","Tennessee","ATLANTIC SOUTHEAST","ATR-72","takeoff","0","2","210"
207449,"8/3/2001","Ohio","BUSINESS","GULFAERO IV","takeoff","0","2","261"
208256,"8/3/2001","Texas","AMERICAN AIRLINES","MD-83","inflight","0","1","2"
206905,"8/3/2001","Indiana","AMERISTAR JET CHARTER","B-737-200","landing","0","2","101"
208291,"8/3/2001","New Hampshire","UNITED AIRLINES","B-727-200","takeoff","0","2","190"
207828,"8/3/2001","Rhode Island","SOUTHWEST AIRLINES","B-737-300","landing","0","2","15"
210791,"8/3/2001","N/A","AMERICAN AIRLINES","B-727-200","inflight","0","1","651"
209236,"8/4/2001","Ohio","ATLANTIC COAST AIRLINES","BA-41 JETSTR","takeoff","0","1","94"
208202,"8/4/2001","Indiana","AIR WISCONSIN AIRLINES","DORNIER 328","landing","0","1","101"
207834,"8/4/2001","Missouri","TRANS WORLD AIRLINES","MD-82","takeoff","0","2","125"
209840,"8/4/2001","Texas","BUSINESS","C-152","landing","0","1","334"
209737,"8/5/2001","Pennsylvania","US AIRWAYS*","B-737-300","landing","0","1","52"
206026,"8/5/2001","Tennessee","FEDEX EXPRESS","DC-10","inflight","0","1","77"
208412,"8/6/2001","Pennsylvania","ABX AIR","DC-9-30","takeoff","0","1","133"
209691,"8/6/2001","Texas","BUSINESS","DA-20 FALCON","inflight","0","2","564"
212078,"8/6/2001","N/A","AMERICAN AIRLINES","B-757-200","takeoff","0","2","652"
206750,"8/6/2001","New York","NORTHWEST AIRLINES","DC-9-30","inflight","0","1","28"
205433,"8/6/2001","Ohio","BUSINESS","C-152","inflight","0","2","653"
210323,"8/7/2001","Missouri","TRANS WORLD AIRLINES","MD-83","takeoff","0","1","125"
211895,"8/7/2001","Colorado","GREAT LAKES AIRLINES","BE-1900","inflight","0","3","654"
209823,"8/7/2001","Minnesota","MESABA AIRLINES","SAAB-340","takeoff","0","1","26"
209077,"8/7/2001","Minnesota","KITTY HAWK AIRWAYS","B-727","landing","0","1","26"
211948,"8/7/2001","Oregon","UNITED AIRLINES","B-737-300","landing","0","1","48"
211896,"8/8/2001","Texas","FRONTIER AIRLINES","B-737-300","inflight","0","2","2"
211640,"8/8/2001","Connecticut","BUSINESS","PA-32","landing","1","2","487"
202629,"8/8/2001","New Jersey","PRIVATELY OWNED","PA-28","inflight","1","1","198"
210263,"8/8/2001","Florida","SOUTHWEST AIRLINES","B-737-200","landing","0","1","31"
207135,"8/8/2001","Iowa","FEDEX EXPRESS","B-727-200","inflight","0","2","131"
211182,"8/9/2001","Maryland","AMERICA WEST AIRLINES","A-320","inflight","0","2","68"
212107,"8/9/2001","Virginia","BUSINESS","BE-58  BARON","inflight","0","1","82"
203277,"8/9/2001","Florida","US AIRWAYS*","B-737-300","takeoff","0","1","229"
5958,"8/9/2001","Louisiana","MILITARY","T-38A","inflight","0","1","37"
210499,"8/10/2001","Iowa","EXECUTIVE JET AVIATION","GULFAERO IV","inflight","0","1","111"
206415,"8/10/2001","Ohio","US AIRWAYS*","B-737-300","takeoff","0","3","116"
209464,"8/10/2001","Arizona","BUSINESS","C-500","inflight","0","3","531"
211255,"8/10/2001","Illinois","AMERICAN EAGLE AIRLINES","EMB-145","takeoff","0","2","271"
210204,"8/10/2001","Florida","DELTA AIR LINES","B-737-200","inflight","0","1","21"
212269,"8/10/2001","Alabama","AIR WISCONSIN AIRLINES","CL-RJ100/200","inflight","0","3","29"
211293,"8/10/2001","Illinois","BUSINESS","C-340","inflight","0","2","226"
209291,"8/10/2001","Maryland","SOUTHEAST AIRLINES","B-737-700","takeoff","0","1","68"
206433,"8/11/2001","New Jersey","BUSINESS","LEARJET-35","takeoff","0","3","75"
208432,"8/11/2001","Indiana","COMAIR AIRLINES","CL-RJ100/200","inflight","0","2","101"
209867,"8/11/2001","Kentucky","CHAUTAUQUA AIRLINES","SAAB-340","takeoff","0","2","245"
208452,"8/11/2001","Pennsylvania","US AIRWAYS*","DC-9-30","takeoff","0","1","260"
209388,"8/11/2001","New York","AMERICAN AIRLINES","MD-82","inflight","0","3","1"
209181,"8/11/2001","N/A","AMERICAN AIRLINES","MD-82","takeoff","0","3","652"
208177,"8/11/2001","New York","AMERICAN AIRLINES","MD-82","inflight","0","1","434"
208686,"8/12/2001","Kentucky","DELTA AIR LINES","B-727","takeoff","0","2","47"
201658,"8/12/2001","Pennsylvania","US AIRWAYS*","B-737-300","inflight","0","2","121"
208017,"8/12/2001","Missouri","SOUTHWEST AIRLINES","B-737-700","inflight","0","1","16"
205195,"8/13/2001","Virginia","ALLEGHENYAIRLINES","DHC8 DASH 8","landing","0","2","82"
210191,"8/13/2001","New York","AMERICAN AIRLINES","FOKKER F100","inflight","0","3","28"
213712,"8/13/2001","Kentucky","ATLANTIC COAST AIRLINES","CL-RJ100/200","inflight","0","1","44"
205676,"8/13/2001","Kentucky","DELTA AIR LINES","MD-80","takeoff","0","1","44"
208217,"8/13/2001","Ohio","BUSINESS","DA-50 FALCON","takeoff","0","1","261"
212191,"8/13/2001","Michigan","USA JET AIRLINES","LEARJET-25","inflight","0","1","373"
210435,"8/13/2001","Ohio","BUSINESS","LEARJET-55","landing","0","2","51"
203681,"8/13/2001","Kentucky","DELTA AIR LINES","B-737","inflight","0","1","44"
206428,"8/14/2001","Illinois","ATA AIRLINES","B-727","inflight","0","1","138"
212209,"8/14/2001","Texas","AMERICAN AIRLINES","MD-80","inflight","0","1","2"
211458,"8/14/2001","Texas","AMERICAN AIRLINES","FOKKER F100","inflight","0","2","129"
206573,"8/14/2001","Pennsylvania","PSA AIRLINES","DORNIER 328","inflight","0","1","121"
200074,"8/15/2001","Missouri","TRANS WORLD AIRLINES","MD-83","inflight","0","2","125"
7239,"8/15/2001","Louisiana","MILITARY","B-52H","takeoff","0","1","37"
7237,"8/15/2001","Texas","MILITARY","AT-38B","inflight","0","2","123"
209673,"8/16/2001","Florida","BUSINESS","PA-44 SEMINOLE","inflight","0","2","67"
207858,"8/16/2001","Georgia","DELTA AIR LINES","B-757-200","landing","0","3","9"
206669,"8/16/2001","Tennessee","AMERICAN AIRLINES","FOKKER F100","takeoff","0","3","19"
205602,"8/16/2001","North Carolina","COMAIR AIRLINES","CL-RJ100/200","inflight","0","2","348"
208294,"8/16/2001","Ohio","ABX AIR","DC-8-61","inflight","0","1","151"
212360,"8/16/2001","Kentucky","BUSINESS","HAWKER 800","landing","0","2","44"
210160,"8/16/2001","New Hampshire","US AIRWAYS*","B-737-200","landing","0","1","190"
210288,"8/16/2001","Virginia","PIEDMONT AIRLINES","DHC8 DASH 8","inflight","0","2","5"
210412,"8/16/2001","Texas","AMERICAN AIRLINES","FOKKER F100","inflight","0","1","2"
210196,"8/17/2001","Pennsylvania","EXPRESSJET (CONTINENTAL EXPRS)","EMB-145","landing","0","1","121"
208874,"8/17/2001","Florida","DELTA AIR LINES","MD-88","inflight","0","2","67"
208132,"8/17/2001","California","UNITED AIRLINES","B-737-300","takeoff","0","1","134"
209313,"8/17/2001","Florida","BUSINESS","C-402","inflight","0","2","67"
202722,"8/17/2001","Ohio","EXPRESSJET (CONTINENTAL EXPRS)","BE-1900","inflight","0","1","34"
208911,"8/17/2001","Massachusetts","AMERICAN EAGLE AIRLINES","SAAB-340","inflight","0","1","60"
213618,"8/17/2001","Massachusetts","BUSINESS","DA-900","landing","0","3","69"
210895,"8/17/2001","Ohio","MESA AIRLINES","CL-RJ100/200","landing","0","2","94"
206866,"8/17/2001","Illinois","AMERICAN AIRLINES","MD-82","inflight","0","1","12"
213520,"8/17/2001","Illinois","AMERICAN AIRLINES","MD-82","takeoff","0","1","12"
204271,"8/18/2001","Ohio","BUSINESS","BA-125-800","takeoff","0","2","261"
213457,"8/18/2001","Pennsylvania","ALLEGHENYAIRLINES","DHC8 DASH 8","inflight","0","1","133"
214309,"8/18/2001","Pennsylvania","US AIRWAYS*","FOKKER F100","inflight","0","2","121"
206121,"8/18/2001","California","SKYWEST AIRLINES","EMB-120","inflight","0","2","655"
213672,"8/18/2001","Hawaii","ALOHA AIRLINES","B-737","inflight","0","2","232"
212273,"8/19/2001","Florida","DELTA AIR LINES","MD-80","inflight","0","3","67"
212314,"8/20/2001","Virginia","BUSINESS","BE-58  BARON","takeoff","0","1","82"
208992,"8/20/2001","DC","UNITED AIRLINES","B-777-200","takeoff","0","2","8"
214453,"8/20/2001","Ohio","COMAIR AIRLINES","CL-RJ100/200","inflight","0","2","309"
210469,"8/20/2001","Indiana","EXECUTIVE JET AVIATION","C-560","inflight","0","1","650"
209104,"8/20/2001","South Dakota","MESABA AIRLINES","SAAB-340","inflight","0","1","22"
206800,"8/21/2001","New Jersey","BUSINESS","PA-28","inflight","0","2","198"
215146,"8/21/2001","New Mexico","GREAT LAKES AIRLINES","BE-1900","takeoff","0","1","656"
209903,"8/21/2001","DC","AIR CANADA","CL-RJ100/200","inflight","0","1","113"
207418,"8/21/2001","Kentucky","DELTA AIR LINES","B-737-800","inflight","0","1","44"
207270,"8/21/2001","Arizona","SOUTHWEST AIRLINES","B-737-700","landing","0","1","395"
207107,"8/21/2001","Illinois","AMERICAN AIRLINES","B-767-300","inflight","0","3","12"
206668,"8/22/2001","Florida","DELTA AIR LINES","MD-88","takeoff","0","2","31"
207108,"8/22/2001","New York","ABX AIR","DC-9-30","inflight","0","1","108"
213957,"8/22/2001","Connecticut","AMERICAN AIRLINES","B-737-800","inflight","0","2","135"
210969,"8/22/2001","Texas","AMERICAN AIRLINES","MD-82","takeoff","0","2","2"
209230,"8/22/2001","Arkansas","AMERICAN EAGLE AIRLINES","EMB-145","takeoff","0","1","193"
203978,"8/23/2001","Pennsylvania","US AIRWAYS*","A-319","inflight","0","2","121"
205147,"8/23/2001","Florida","BUSINESS","C-172","inflight","0","1","296"
203678,"8/23/2001","Illinois","AMERICAN EAGLE AIRLINES","EMB-145","landing","0","1","12"
211798,"8/23/2001","Missouri","SOUTHWEST AIRLINES","B-737-700","takeoff","0","3","16"
205146,"8/23/2001","Missouri","AMERICA WEST AIRLINES","B-737-300","inflight","0","2","125"
212484,"8/23/2001","Iowa","MESABA AIRLINES","SAAB-340","takeoff","0","2","181"
211504,"8/24/2001","Ohio","ABX AIR","DC-8-63","inflight","0","1","151"
211617,"8/24/2001","Tennessee","UPS AIRLINES","B-757-200","inflight","0","1","265"
209429,"8/24/2001","Maryland","PIEDMONT AIRLINES","DHC8 DASH 8","landing","0","1","68"
209131,"8/24/2001","Tennessee","ATLANTIC SOUTHEAST","ATR-72","inflight","0","1","210"
206825,"8/24/2001","Kentucky","DELTA AIR LINES","B-727","takeoff","0","3","47"
211412,"8/24/2001","Florida","AMERICAN AIRLINES","B-737-800","inflight","0","1","119"
212895,"8/24/2001","Texas","AMERICAN AIRLINES","MD-82","inflight","0","1","515"
209901,"8/24/2001","Ohio","DELTA AIR LINES","MD-88","landing","0","2","34"
205852,"8/25/2001","Florida","US AIRWAYS*","MD-80","takeoff","0","1","58"
215771,"8/25/2001","DC","AMERICAN AIRLINES","FOKKER F100","takeoff","0","1","113"
212464,"8/25/2001","Tennessee","PINNACLE","SAAB-340","inflight","0","1","77"
213424,"8/26/2001","Missouri","US AIRWAYS*","A-319","inflight","0","2","125"
213197,"8/26/2001","Kansas","AMERICAN AIRLINES","FOKKER F100","inflight","0","3","194"
208803,"8/26/2001","New York","US AIRWAYS*","B-737-300","takeoff","0","2","109"
209105,"8/26/2001","N/A","AMERICAN AIRLINES","B-727-200","inflight","0","2","634"
211093,"8/27/2001","Illinois","BUSINESS","C-172","inflight","0","2","274"
208962,"8/27/2001","Illinois","BUSINESS","DA-50 FALCON","landing","0","3","274"
208963,"8/27/2001","New York","AMERICAN AIRLINES","FOKKER F100","inflight","0","3","106"
210607,"8/27/2001","Minnesota","AIR CANADA","FOKKER F28 MK 1000","inflight","0","1","26"
